SMILES,CID,Unnamed: 0,MW,LogP,MR,TPSA,NumAromaticRings,FractionCSP3,NumValenceElectron,MaxCharge,MinCharge,BertzCT,BalabanJ,LabuteASA
CC(C)C1=C(C(=O)c2ccccc2C1=O)Br,156136,-1.2483755678647184,0.4888743832093206,1.0787466067763738,0.26155944472668463,-0.811015184325533,-0.07258942372018332,0.7525473876419043,-0.044445710220132446,-0.4853594127372188,0.9130114041925597,-0.07637767692340527,0.06768488494395461,0.14997957365225378
Cc1cc(c(c(c1)C(=O)O)C1=CC(=O)c2c(C1=O)cccc2O)OC,156388,-1.2171661786681005,1.3380601907591312,0.6636902217191448,1.5430668235260028,1.4017662889139944,0.9345888303973613,-0.07345074857480201,1.8268719511171714,4.138026402308735,-1.4062989276594935,1.800783842856049,-0.7698343909033701,1.6573401440019981
Cc1c(c(c2c(c1)C(=O)C(=CC2=O)OC)O)C(=O)C,158739,-1.1859567894714824,0.2178558043677669,-0.2131369132003871,0.30006275039314645,0.7312364925743357,-0.07258942372018332,0.6440637614567607,0.6360334393570689,0.45163189216154487,-1.398002426682382,0.4997930984875193,0.31653077312102107,0.39711107155791475
CC(=O)Oc1cccc2c1C(=O)c1c(C2=O)cccc1OC(=O)C,16068,-1.1547474002748646,1.1367907283803478,0.20150489637933797,1.1583005082692202,0.9324285767948857,0.9345888303973613,-0.03496338022061828,1.5716922700257208,3.167031812176366,-0.5429337712555712,1.2656901821295201,-0.9119535816589638,1.4319594966482807
CC1=C(C(=O)c2ccccc2C1=O)C,16615,-1.1235380110782465,-0.8444515063339693,0.275630991756933,-0.41438505755023214,-0.811015184325533,-0.07258942372018332,0.33066661914412415,-0.5548050724030335,-0.870142432459932,0.912413787217821,-0.4407439064608452,0.1823701449626713,-0.6114514112263513
CN(C)C1=CC(=O)c2ccccc2C1=O,16870,-1.0923286218816286,-0.6290055109238711,-0.46305959405849095,-0.2295169308100847,-0.7036243518914995,-0.07258942372018332,0.33066661914412415,-0.29962539131158294,-0.18584795292716458,0.004654673232114697,-0.24178094670728947,-0.14320842646281604,-0.39468541332267476
COC1=CC(=O)c2ccccc2C1=O,16871,-1.0611192326850107,-0.8161558351419134,-0.3927475930739272,-0.5930473637814349,-0.5050838931631477,-0.07258942372018332,-0.16791974362597933,-0.5548050724030335,0.44645065509421517,-1.2504458505630849,-0.3598585259803098,-0.09523958177225404,-0.6585465723123304
CC(C)(C)C1=CC(=O)C(=CC1=O)C(C)(C)C,17161,-1.0299098434883927,-0.3551315372713555,0.8404486223074621,0.2177920790320214,-0.811015184325533,-1.0797676778377279,2.9945423288015363,0.21073397087131807,-1.10762464528464,0.9053606547166824,-0.7230518351880729,1.1602132141619708,-0.04043566286969397
c1ccc2c(c1)C(=O)C(=C(C2=O)Cl)N,17748,-0.9987004542917747,-0.5373028564672653,-0.4932406888207332,-0.48556690752827125,0.05142600701198179,-0.07258942372018332,-0.7662233789501038,-0.5548050724030335,-0.14652521370069438,-0.20610952818075268,-0.400373827927466,0.18237014496267426,-0.5018130954211594
Cc1c(c2c(c(c1C[C@@H](C)O)O)C(=O)C(=CC2=O)OC)O,186116,-0.9674910650951568,0.6776174150857389,-0.6888208160877013,0.6835770141437385,1.5065054958558293,-0.07258942372018332,1.427556617238353,1.23145269523712,0.5789523948450932,-1.4031538132057033,0.5705885652310551,0.28228691940062955,0.8408878212914506
