,SMILES,CID,MW,LogP,MR,TPSA,NumAromaticRings,FractionCSP3,NumValenceElectron,MaxCharge,MinCharge,BertzCT,BalabanJ,LabuteASA
10,CC(C)(C)C1=CC(=O)C=C(C1=O)C(C)(C)C,12867,220.31199999999995,3.0832000000000015,65.09000000000003,34.14,0,0.5714285714285714,88,0.18583526712894957,-0.28993767406146265,359.43172867352865,3.239425509374564,97.42150549717523
11,c1cc2c(cc1O)C(=O)c1c(C2=O)ccc(c1O)O,1320,256.21299999999997,1.5788000000000002,64.74340000000002,94.83,2,0.0,94,0.19802657624965478,-0.5079410370989214,745.7418105144527,2.3627705767255827,106.91829585750057
12,Cc1c(c(c2c(c1)C(=O)c1ccccc1C2=O)O)C,1382,252.26899999999998,2.784440000000001,70.88780000000001,54.370000000000005,2,0.125,94,0.1977515705628255,-0.5068682633727553,741.8995323955324,2.3958105202140287,110.05971258190175
13,Cc1cccc2-c3c(C(=O)C(=O)c12)cc(cc3)C(C)C,138485,264.324,4.1644200000000025,79.36500000000004,34.14,2,0.2222222222222222,100,0.23393476589930473,-0.28484781972438566,739.0785965162167,2.326959282147374,117.99536305849894
14,c1ccc(cc1)NC1=C(C(=O)c2ccccc2C1=O)Cl,14161,283.71399999999994,3.6281000000000017,78.04670000000002,46.17,2,0.0,98,0.21111403916075028,-0.3509731122350443,735.1519090486689,2.0562284207539463,120.42900420801121
15,CC(C)C1=C(C(=O)c2ccccc2C1=O)Br,156136,279.133,3.3706000000000023,65.89400000000002,34.14,1,0.23076923076923078,82,0.20063595016748506,-0.2888959091867718,512.418808591159,2.6803521988318484,102.48115554028863
16,Cc1cc(c(c(c1)C(=O)O)C1=CC(=O)c2c(C1=O)cccc2O)OC,156388,338.31500000000005,2.870020000000001,89.43510000000002,100.9,2,0.10526315789473684,126,0.33597015990769813,-0.5071594893049172,968.1198780674935,2.304441282989485,142.534236974654
17,Cc1c(c(c2c(c1)C(=O)C(=CC2=O)OC)O)C(=O)C,158739,260.24499999999995,1.8125200000000001,66.60130000000001,80.67000000000002,1,0.21428571428571427,98,0.22806324757564328,-0.5063787296192256,652.2904369988281,2.7920438200588444,109.04785113079055
18,CC(=O)Oc1cccc2c1C(=O)c1c(C2=O)cccc1OC(=O)C,16068,324.28800000000007,2.3125999999999998,82.36700000000003,86.74000000000001,2,0.1111111111111111,120,0.3075475296591169,-0.42591069417903793,838.2201593199375,2.240652715136332,136.54549771760026
19,CC1=C(C(=O)c2ccccc2C1=O)C,16615,186.20999999999995,2.402000000000001,53.477000000000025,34.14,1,0.16666666666666666,70,0.18937270976774162,-0.28895214918995493,423.96500281488284,2.7318273616973707,82.24866582025066
20,CN(C)C1=CC(=O)c2ccccc2C1=O,16870,201.22499999999997,1.5110999999999999,56.873000000000026,37.38,1,0.16666666666666666,76,0.20940314986551167,-0.37437873112786285,472.2653928402041,2.585695156155735,88.00849949045404
21,COC1=CC(=O)c2ccccc2C1=O,16871,188.182,1.5958999999999999,50.19500000000002,43.370000000000005,1,0.09090909090909091,70,0.2279115841298408,-0.4924926074683983,443.60079547395617,2.607225421618922,80.99726893536094
22,CC(C)(C)C1=CC(=O)C(=CC1=O)C(C)(C)C,17161,220.31199999999995,3.0832000000000015,65.09000000000003,34.14,0,0.5714285714285714,88,0.18242120952837224,-0.28961589906835816,355.43172867352865,3.1707210018717187,97.42150549717523
23,c1ccc2c(c1)C(=O)C(=C(C2=O)Cl)N,17748,207.61599999999996,1.4747,52.1694,60.16,1,0.0,70,0.21055419199154757,-0.3942131398869442,433.7652718746631,2.7318273616973716,85.16193851535182
24,Cc1c(c2c(c(c1C[C@@H](C)O)O)C(=O)C(=CC2=O)OC)O,186116,292.287,1.23882,73.6464,104.06,1,0.3333333333333333,112,0.23179013092557488,-0.5068635116898744,669.4767950022118,2.7766738592887106,120.83973864953542
25,CC(C)(C)C1=CC(=O)C=CC1=O,19211,164.20399999999998,1.6669,46.69200000000002,34.14,0,0.4,64,0.1821244943652333,-0.2899491245174781,287.4506652994396,3.049827077200848,71.96173703958881
26,c1ccc2c(c1)C(=O)c1c(ccc(c1C2=O)NCCO)NCCO,20549,326.35200000000003,1.2703999999999995,90.90000000000003,98.66000000000001,2,0.2222222222222222,124,0.19617595186116624,-0.3945460000453278,735.6009242880399,2.1807258738909794,138.68355493010708
